"player_name","position","team","headshot_href","streak_total5","streak_total10","status","reason"
"Franz Wagner","F","ORL","https://a.espncdn.com/i/headshots/nba/players/full/4566434.png",68.678115987126,83.0594130093672,"— Steady","Recent form (64.4) is close to season avg (71.2)"
"T.J. McConnell","G","IND","https://a.espncdn.com/i/headshots/nba/players/full/2530530.png",84.5725364970773,83.0571234460609,"— Steady","Recent form (71.9) is close to season avg (70.6)"
"Zach Edey","C","MEM","https://a.espncdn.com/i/headshots/nba/players/full/4600663.png",67.6484423593172,82.5416119621416,"— Steady","Recent form (63.9) is close to season avg (69.9)"
"DeMar DeRozan","G","SAC","https://a.espncdn.com/i/headshots/nba/players/full/3978.png",76.0798232401761,82.3276855960336,"— Steady","Recent form (67.5) is close to season avg (68.8)"
"Coby White","G","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4395651.png",83.2970519552871,81.9759294639187,"— Steady","Recent form (71.2) is close to season avg (65.3)"
"Isaiah Hartenstein","C","OKC","https://a.espncdn.com/i/headshots/nba/players/full/4222252.png",76.1876572360196,81.6594023114552,"— Steady","Recent form (67.6) is close to season avg (75.3)"
"Davion Mitchell","G","MIA","https://a.espncdn.com/i/headshots/nba/players/full/4278053.png",70.9499018116276,80.9451789691647,"— Steady","Recent form (65.3) is close to season avg (64.8)"
"Jonathan Mogbo","F","TOR","https://a.espncdn.com/i/headshots/nba/players/full/5107897.png",88.1220272502332,80.8678687534113,"On Fire (last 5)","Last 5 avg (74.4) is 11.5 above season avg (62.8). Boosted by PLAY, REB"
"Jalen Duren","C","DET","https://a.espncdn.com/i/headshots/nba/players/full/4433621.png",77.9474796115612,80.6604205377894,"— Steady","Recent form (68.4) is close to season avg (72.2)"
"Anthony Edwards","G","MIN","https://a.espncdn.com/i/headshots/nba/players/full/4594268.png",61.4567550506942,79.5833682426309,"— Steady","Recent form (61.4) is close to season avg (71.5)"
"Kyrie Irving","G","DAL","https://a.espncdn.com/i/headshots/nba/players/full/6442.png",73.7690268378008,79.4656793879124,"— Steady","Recent form (66.5) is close to season avg (71.7)"
"Dereck Lively II","C","DAL","https://a.espncdn.com/i/headshots/nba/players/full/4683688.png",75.416250348676,79.3315982541666,"— Steady","Recent form (67.2) is close to season avg (74.8)"
"Ja Morant","G","MEM","https://a.espncdn.com/i/headshots/nba/players/full/4279888.png",66.3817295599819,79.1113144453499,"— Steady","Recent form (63.4) is close to season avg (73.5)"
"Kevin Huerter","G","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4066372.png",78.4960662223271,79.0747358002342,"— Steady","Recent form (68.7) is close to season avg (63.1)"
"Stephen Curry","G","GS","https://a.espncdn.com/i/headshots/nba/players/full/3975.png",72.0778340076931,78.8937459593304,"— Steady","Recent form (65.8) is close to season avg (73.6)"
"Aaron Gordon","F","DEN","https://a.espncdn.com/i/headshots/nba/players/full/3064290.png",83.0839513214052,78.8347969234474,"— Steady","Recent form (71.1) is close to season avg (69.5)"
"Steven Adams","C","HOU","https://a.espncdn.com/i/headshots/nba/players/full/2991235.png",79.3280843314303,78.5301833854146,"— Steady","Recent form (69.1) is close to season avg (70.6)"
"Derrick White","G","BOS","https://a.espncdn.com/i/headshots/nba/players/full/3078576.png",73.3098341330948,78.3039962504455,"— Steady","Recent form (66.3) is close to season avg (73.5)"
"Moritz Wagner","F","ORL","https://a.espncdn.com/i/headshots/nba/players/full/3150844.png",66.9332048595293,78.2545576871442,"— Steady","Recent form (63.6) is close to season avg (67.4)"
"Brandon Clarke","F","MEM","https://a.espncdn.com/i/headshots/nba/players/full/3906665.png",76.4371568352092,78.0013393088672,"— Steady","Recent form (67.7) is close to season avg (67.3)"
"Ty Jerome","G","CLE","https://a.espncdn.com/i/headshots/nba/players/full/4065733.png",48.9741526613182,77.8124402921195,"Cold (last 5)","Last 5 avg (55.9) is 15.4 below season avg (71.2). Dragged down by DEF, SCORING"
